STATION,LINENAME,PM_ENTERS,PM_EXITS
MORISN AV/SNDVW,6,5100.0,3430.0
MORRIS PARK,5,1924.0,2312.0
MOSHOLU PKWY,4,9674.0,2573.0
MT EDEN AV,4,4611.0,2577.0
MYRTLE AV,JMZ,10457.0,4881.0
MYRTLE-WILLOUGH,G,5317.0,2566.0
MYRTLE-WYCKOFF,LM,17123.0,8771.0
NASSAU AV,G,6777.0,4207.0
NECK RD,BQ,3143.0,849.0
NEPTUNE AV,F,2606.0,630.0
NEREID AV,25,2884.0,1339.0
NEVINS ST,2345,9895.0,9701.0
NEW LOTS,L,3952.0,4386.0
NEW LOTS AV,3,4820.0,4338.0
NEW UTRECHT AV,ND,583062.0,111498.0
NEWARK BM BW,1,10575.0,384.0
NEWARK C,1,1268.0,121.0
NEWARK HM HE,1,2081.0,22119.0
NEWARK HW BMEBE,1,2942.0,14006.0
NEWKIRK AV,25,6339.0,5295.0
NEWKIRK PLAZA,BQ,10023.0,10310.0
NORTHERN BLVD,MR,6058.0,5660.0
NORWOOD 205 ST,D,7470.0,5460.0
NORWOOD AV,JZ,2849.0,3502.0
NOSTRAND AV,3,3773.0,2723.0
NOSTRAND AV,AC,15877.0,9238.0
OCEAN PKWY,Q,3953.0,1512.0
OZONE PK LEFFRT,A,5161.0,4101.0
PARK PLACE,23ACE,3032.0,2588.0
PARK PLACE,S,78.0,247.0
PARKCHESTER,6,13577.0,16315.0
PARKSIDE AV,BQ,5050.0,3530.0
PARSONS BLVD,F,6696.0,4081.0
PATH NEW WTC,1,75674.0,28595.0
PATH WTC 2,1,3224.0,7839.0
PAVONIA/NEWPORT,1,19152.0,13097.0
PELHAM BAY PARK,6,5104.0,3183.0
PELHAM PKWY,25,8914.0,3395.0
PELHAM PKWY,5,3316.0,2467.0
PENNSYLVANIA AV,3,4483.0,1658.0
PRESIDENT ST,25,4077.0,3588.0
PRINCE ST,NRW,14652.0,16411.0
PROSPECT AV,25,8672.0,2393.0
PROSPECT AV,R,4414.0,3025.0
PROSPECT PARK,BQS,8618.0,7507.0
QUEENS PLAZA,EMR,20912.0,10068.0
QUEENSBORO PLZ,7NQW,12825.0,3888.0
RALPH AV,C,5614.0,2740.0
RECTOR ST,1,7849.0,4681.0
RECTOR ST,NRW,6235.0,1911.0
RIT-MANHATTAN,R,3339.0,59.0
ROCKAWAY AV,3,4548.0,4459.0
ROCKAWAY AV,C,5652.0,3518.0
ROCKAWAY BLVD,A,6355.0,2804.0
ROCKAWAY PARK B,AS,626.0,649.0
ROOSEVELT ISLND,F,6829.0,4191.0
SARATOGA AV,3,4248.0,3680.0
SENECA AVE,M,2286.0,2481.0
SHEEPSHEAD BAY,BQ,11742.0,12117.0
SHEPHERD AV,C,2772.0,1592.0
SIMPSON ST,25,10071.0,4653.0
SMITH-9 ST,FG,4439.0,5118.0
SOUTH FERRY,1RW,15436.0,8889.0
SPRING ST,6,10346.0,14000.0
SPRING ST,CE,11459.0,2792.0
ST LAWRENCE AV,6,3322.0,2274.0
ST. GEORGE,1,7415.0,0.0
STEINWAY ST,MR,11708.0,8090.0
STERLING ST,25,6646.0,2684.0
SUTPHIN BLVD,F,4659.0,2758.0
SUTPHIN-ARCHER,EJZ,20316.0,16983.0
SUTTER AV,L,3691.0,2244.0
SUTTER AV-RUTLD,3,6183.0,5620.0
THIRTY ST,1,10914.0,8585.0
THIRTY THIRD ST,1,27236.0,9217.0
TIMES SQ-42 ST,1237ACENQRS,13652.0,7962.0
TIMES SQ-42 ST,1237ACENQRSW,48496.0,56826.0
TIMES SQ-42 ST,ACENQRS1237W,11817.0,19361.0
TOMPKINSVILLE,1,1191.0,0.0
TREMONT AV,BD,11129.0,6203.0
TWENTY THIRD ST,1,9106.0,5060.0
UNION ST,R,5151.0,4190.0
UTICA AV,AC,14769.0,11402.0
V.CORTLANDT PK,1,7145.0,1968.0
VAN SICLEN AV,3,2391.0,2043.0
VAN SICLEN AV,JZ,2368.0,3163.0
VAN SICLEN AVE,C,3193.0,3155.0
VERNON-JACKSON,7,11025.0,7360.0
W 4 ST-WASH SQ,ABCDEFM,38335.0,38425.0
W 8 ST-AQUARIUM,FQ,2340.0,1778.0
WAKEFIELD/241,2,4300.0,4792.0
WALL ST,23,17018.0,14782.0
WALL ST,45,28760.0,11259.0
WEST FARMS SQ,25,7569.0,4172.0
WESTCHESTER SQ,6,6108.0,4459.0
WHITEHALL S-FRY,R1W,15565.0,12808.0
WHITLOCK AV,6,1505.0,1174.0
WILSON AV,L,4055.0,2486.0
WINTHROP ST,25,8316.0,1283.0
WOODHAVEN BLVD,JZ,3648.0,1711.0
WOODHAVEN BLVD,MR,19837.0,15177.0
WOODLAWN,4,4975.0,1163.0
WORLD TRADE CTR,ACE23,13485.0,10951.0
WTC-CORTLANDT,1,14205.0,9083.0
YORK ST,F,11054.0,4976.0
ZEREGA AV,6,2895.0,2440.0
