STATION,LINENAME,AM_ENTERS,AM_EXITS
BURKE AV,25,6306.0,344.0
BURNSIDE AV,4,7070.0,810.0
BUSHWICK AV,L,964.0,166.0
CANAL ST,1,826.0,2757.0
CANAL ST,ACE,1276.0,5619.0
CANAL ST,JNQRZ6W,5204.0,12597.0
CANARSIE-ROCKAW,L,19557.0,919.0
CARROLL ST,FG,1937.0,715.0
CASTLE HILL AV,6,6072.0,1268.0
CATHEDRAL PKWY,1,7448.0,3518.0
CATHEDRAL PKWY,BC,4714.0,1699.0
CENTRAL AV,M,3902.0,1033.0
CENTRAL PK N110,23,2770.0,1855.0
CHAMBERS ST,123,977.0,4046.0
CHAMBERS ST,ACE23,3005.0,8088.0
CHAMBERS ST,JZ456,642.0,2516.0
CHAUNCEY ST,JZ,3605.0,410.0
CHRISTOPHER ST,1,1624.0,5563.0
CHURCH AV,25,14828.0,986.0
CHURCH AV,BQ,9285.0,1593.0
CHURCH AV,FG,4952.0,941.0
CITY / BUS,1,19451.0,3672.0
CITY HALL,NRW,181.0,807.0
CLARK ST,23,734.0,600.0
CLASSON AV,G,1567.0,729.0
CLEVELAND ST,J,5150.0,924.0
CLINTON-WASH AV,C,1317.0,886.0
CLINTON-WASH AV,G,3354.0,203.0
CONEY IS-STILLW,DFNQ,13607.0,4937.0
CORTELYOU RD,BQ,3499.0,218.0
CORTLANDT ST,RNW,5259.0,9029.0
COURT SQ,7,661.0,3306.0
COURT SQ,EMG,1699.0,4101.0
COURT SQ-23 ST,EMG,1092.0,1441.0
CRESCENT ST,JZ,8213.0,1198.0
CROWN HTS-UTICA,34,16771.0,2660.0
CYPRESS AV,6,3933.0,2708.0
CYPRESS HILLS,J,1477.0,241.0
DEKALB AV,BDNQR,3548.0,1915.0
DEKALB AV,L,6019.0,420.0
DELANCEY/ESSEX,FJMZ,11395.0,10759.0
DITMAS AV,F,5369.0,651.0
DYCKMAN ST,1,3478.0,493.0
DYCKMAN ST,A,8185.0,96.0
E 143/ST MARY'S,6,768.0,1880.0
E 149 ST,6,7071.0,2532.0
E 180 ST,25,12593.0,1861.0
EAST 105 ST,L,6436.0,2451.0
EAST BROADWAY,F,2475.0,1597.0
EASTCHSTER/DYRE,5,9753.0,2404.0
EASTN PKWY-MUSM,23,959.0,425.0
ELDER AV,6,11422.0,1837.0
ELMHURST AV,MR,7959.0,340.0
EUCLID AV,AC,7664.0,931.0
EXCHANGE PLACE,1,15054.0,12734.0
FAR ROCKAWAY,A,4504.0,1453.0
FLATBUSH AV-B.C,25,29245.0,3193.0
FLUSHING AV,G,2639.0,3028.0
FLUSHING AV,JM,4825.0,2513.0
FLUSHING-MAIN,7,31356.0,8331.0
FORDHAM RD,4,7053.0,501.0
FORDHAM RD,BD,8185.0,915.0
FOREST AVE,M,6814.0,688.0
FOREST HILLS 71,EFMR,31689.0,4103.0
FRANKLIN AV,2345S,6328.0,1162.0
FRANKLIN AV,ACS,4470.0,2992.0
FRANKLIN ST,1,1264.0,2355.0
FREEMAN ST,25,6674.0,1385.0
FRESH POND RD,M,10228.0,1185.0
FT HAMILTON PKY,D,4471.0,1025.0
FT HAMILTON PKY,FG,6955.0,372.0
FT HAMILTON PKY,N,5299.0,152.0
FULTON ST,2345ACJZ,18341.0,28405.0
FULTON ST,ACJZ2345,3211.0,6092.0
FULTON ST,G,1032.0,728.0
GATES AV,JZ,7030.0,813.0
GRAHAM AV,L,2131.0,1615.0
GRAND ARMY PLAZ,23,1128.0,258.0
GRAND ST,BD,1864.0,3031.0
GRAND ST,L,1924.0,1930.0
GRAND-NEWTOWN,MR,12594.0,1116.0
GRANT AV,A,4793.0,628.0
GRD CNTRL-42 ST,4567S,39361.0,72701.0
GREENPOINT AV,G,2440.0,2093.0
GROVE STREET,1,26497.0,5514.0
GUN HILL RD,25,9274.0,3892.0
GUN HILL RD,5,6431.0,294.0
HALSEY ST,J,7278.0,820.0
HALSEY ST,L,5003.0,443.0
HARLEM 148 ST,3,2766.0,423.0
HARRISON,1,16666.0,1379.0
HEWES ST,JM,1814.0,496.0
HIGH ST,AC,892.0,2247.0
HOUSTON ST,1,1642.0,5709.0
HOWARD BCH JFK,A,2545.0,2294.0
HOYT ST,23,571.0,1540.0
HOYT-SCHER,ACG,1254.0,2107.0
HUNTERS PT AV,7,6792.0,6225.0
HUNTS POINT AV,6,13635.0,6555.0
INTERVALE AV,25,4000.0,1736.0
INWOOD-207 ST,A,11800.0,1149.0
JACKSON AV,25,6715.0,492.0
JAMAICA 179 ST,F,22470.0,1836.0
JAMAICA CENTER,EJZ,33067.0,5697.0
JAMAICA VAN WK,E,6515.0,3012.0
JAY ST-METROTEC,ACF,6390.0,7048.0
JAY ST-METROTEC,R,329.0,546.0
JEFFERSON ST,L,2418.0,427.0
JFK JAMAICA CT1,E,7238.0,3349.0
JKSN HT-ROOSVLT,EFMR7,25779.0,6199.0
JOURNAL SQUARE,1,96546.0,13186.0
JUNCTION BLVD,7,19452.0,1965.0
JUNIUS ST,3,1094.0,638.0
KEW GARDENS,EF,60288.0,19183.0
KINGS HWY,BQ,9735.0,1580.0
KINGS HWY,F,5796.0,1176.0
KINGS HWY,N,5600.0,405.0
KINGSBRIDGE RD,4,12464.0,2142.0
KINGSBRIDGE RD,BD,13118.0,1982.0
KINGSTON AV,3,1798.0,471.0
KINGSTON-THROOP,C,2461.0,818.0
KNICKERBOCKER,M,3977.0,1457.0
KOSCIUSZKO ST,J,5320.0,703.0
LACKAWANNA,1,16846.0,1558.0
LAFAYETTE AV,C,2032.0,718.0
LEXINGTON AV/53,EM6,5325.0,28947.0
LEXINGTON AV/63,F,1898.0,7259.0
LIBERTY AV,C,3425.0,839.0
LIVONIA AV,L,4445.0,1454.0
LONGWOOD AV,6,4389.0,2509.0
LORIMER ST,JM,2318.0,949.0
LORIMER ST,LG,3684.0,382.0
MARBLE HILL-225,1,3210.0,193.0
MARCY AV,JMZ,7384.0,3127.0
METROPOLITAN AV,GL,4733.0,2075.0
METROPOLITAN AV,M,3614.0,1463.0
METS-WILLETS PT,7,2277.0,997.0
MIDDLETOWN RD,6,4159.0,779.0
MONTROSE AV,L,1557.0,953.0
MORGAN AV,L,1604.0,1054.0
MORISN AV/SNDVW,6,6701.0,810.0
MORRIS PARK,5,5371.0,353.0
MOSHOLU PKWY,4,10642.0,1228.0
MT EDEN AV,4,4417.0,1060.0
MYRTLE AV,JMZ,10574.0,1876.0
MYRTLE-WILLOUGH,G,6247.0,1380.0
MYRTLE-WYCKOFF,LM,11845.0,1651.0
NASSAU AV,G,2605.0,1265.0
NECK RD,BQ,2894.0,84.0
NEPTUNE AV,F,2013.0,433.0
NEREID AV,25,6337.0,660.0
NEVINS ST,2345,1523.0,2921.0
NEW LOTS,L,8184.0,1984.0
NEW LOTS AV,3,5060.0,1390.0
NEW UTRECHT AV,ND,5167.0,664.0
NEWARK BM BW,1,23311.0,821.0
NEWARK C,1,12553.0,301.0
NEWARK HM HE,1,0.0,7282.0
NEWARK HW BMEBE,1,16922.0,2114.0
NEWKIRK AV,25,12340.0,1430.0
NEWKIRK PLAZA,BQ,15685.0,2701.0
NORTHERN BLVD,MR,8977.0,2937.0
NORWOOD 205 ST,D,14651.0,1712.0
NORWOOD AV,JZ,5637.0,987.0
NOSTRAND AV,3,1534.0,554.0
NOSTRAND AV,AC,5011.0,2436.0
OCEAN PKWY,Q,2046.0,322.0
OZONE PK LEFFRT,A,10129.0,1136.0
PARK PLACE,23ACE,244.0,1858.0
PARK PLACE,S,1714.0,1109.0
PARKCHESTER,6,27966.0,4562.0
PARKSIDE AV,BQ,6968.0,1031.0
PARSONS BLVD,F,5275.0,1483.0
PATH NEW WTC,1,89417.0,121388.0
PATH WTC 2,1,630.0,15175.0
PAVONIA/NEWPORT,1,13632.0,10064.0
PELHAM BAY PARK,6,6054.0,1063.0
PELHAM PKWY,25,11472.0,1483.0
PELHAM PKWY,5,5827.0,968.0
PENNSYLVANIA AV,3,3300.0,315.0
PRESIDENT ST,25,1432.0,472.0
PRINCE ST,NRW,350.0,1686.0
PROSPECT AV,25,8481.0,802.0
PROSPECT AV,R,1587.0,1218.0
PROSPECT PARK,BQS,3736.0,1202.0
QUEENS PLAZA,EMR,5649.0,9460.0
QUEENSBORO PLZ,7NQW,2983.0,1833.0
RALPH AV,C,7276.0,1097.0
RECTOR ST,1,750.0,971.0
RECTOR ST,NRW,606.0,701.0
RIT-MANHATTAN,R,373.0,31.0
ROCKAWAY AV,3,3681.0,679.0
ROCKAWAY AV,C,7694.0,1331.0
ROCKAWAY BLVD,A,12901.0,1655.0
ROCKAWAY PARK B,AS,1142.0,476.0
ROOSEVELT ISLND,F,1348.0,717.0
SARATOGA AV,3,5287.0,666.0
SENECA AVE,M,3996.0,582.0
SHEEPSHEAD BAY,BQ,21155.0,3562.0
SHEPHERD AV,C,5790.0,555.0
SIMPSON ST,25,9073.0,1334.0
SMITH-9 ST,FG,1177.0,2112.0
SOUTH FERRY,1RW,11954.0,3342.0
SPRING ST,6,737.0,1787.0
SPRING ST,CE,577.0,482.0
ST LAWRENCE AV,6,4173.0,611.0
ST. GEORGE,1,6946.0,0.0
STEINWAY ST,MR,4818.0,1927.0
STERLING ST,25,2654.0,325.0
SUTPHIN BLVD,F,6212.0,1035.0
SUTPHIN-ARCHER,EJZ,22381.0,9521.0
SUTTER AV,L,5518.0,904.0
SUTTER AV-RUTLD,3,5413.0,1071.0
THIRTY ST,1,2485.0,8122.0
THIRTY THIRD ST,1,7449.0,18973.0
TIMES SQ-42 ST,1237ACENQRS,1795.0,2348.0
TIMES SQ-42 ST,1237ACENQRSW,11608.0,16353.0
TIMES SQ-42 ST,ACENQRS1237W,2493.0,3717.0
TOMPKINSVILLE,1,876.0,0.0
TREMONT AV,BD,18427.0,3098.0
TWENTY THIRD ST,1,1137.0,8372.0
UNION ST,R,1298.0,1320.0
UTICA AV,AC,16992.0,4222.0
V.CORTLANDT PK,1,7117.0,566.0
VAN SICLEN AV,3,2674.0,333.0
VAN SICLEN AV,JZ,4576.0,786.0
VAN SICLEN AVE,C,5159.0,894.0
VERNON-JACKSON,7,3308.0,2501.0
W 4 ST-WASH SQ,ABCDEFM,12034.0,21305.0
W 8 ST-AQUARIUM,FQ,904.0,182.0
WAKEFIELD/241,2,8341.0,2826.0
WALL ST,23,1206.0,5688.0
WALL ST,45,9921.0,24004.0
WEST FARMS SQ,25,8091.0,2180.0
WESTCHESTER SQ,6,3729.0,1515.0
WHITEHALL S-FRY,R1W,8719.0,8467.0
WHITLOCK AV,6,1488.0,563.0
WILSON AV,L,2132.0,349.0
WINTHROP ST,25,6884.0,887.0
WOODHAVEN BLVD,JZ,3887.0,579.0
WOODHAVEN BLVD,MR,25602.0,2431.0
WOODLAWN,4,6346.0,313.0
WORLD TRADE CTR,ACE23,2530.0,3438.0
WTC-CORTLANDT,1,3132.0,3758.0
YORK ST,F,4379.0,3255.0
ZEREGA AV,6,4350.0,1764.0
