STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
57 ST-7 AV,NQRW,2206.0,8214.0,42582.0,23245.0
59 ST,456NQRW,2201.0,12231.0,31157.0,30793.0
59 ST,NQR456W,601.0,1950.0,3821.0,2541.0
59 ST,NRW,6767.0,1097.0,9512.0,4562.0
59 ST COLUMBUS,1ABCD,845.0,3091.0,15431.0,12864.0
59 ST COLUMBUS,ABCD1,3770.0,14303.0,60125.0,50914.0
6 AV,FLM123,789.0,518.0,5003.0,2924.0
61 ST WOODSIDE,7,23282.0,5620.0,13516.0,19382.0
63 DR-REGO PARK,MR,7434.0,783.0,14247.0,5911.0
65 ST,MR,4748.0,828.0,3118.0,2513.0
66 ST-LINCOLN,1,5190.0,15242.0,29060.0,21153.0
67 AV,MR,6762.0,884.0,7513.0,2725.0
68ST-HUNTER CO,6,3733.0,16151.0,38723.0,23576.0
69 ST,7,6008.0,1827.0,3867.0,3781.0
7 AV,BDE,2311.0,16390.0,19919.0,17690.0
7 AV,BQ,6456.0,2682.0,8254.0,8040.0
7 AV,FG,8270.0,3252.0,12881.0,5916.0
71 ST,D,7121.0,309.0,4379.0,1300.0
72 ST,123,14960.0,18563.0,42313.0,40786.0
72 ST,BC,417.0,792.0,8079.0,7306.0
72 ST-2 AVE,Q,10584.0,20701.0,34176.0,23721.0
74 ST-BROADWAY,7EFMR,843.0,512.0,3005.0,3947.0
75 AV,EF,22541.0,1481.0,216921.0,64131.0
75 ST-ELDERTS,JZ,3857.0,295.0,2684.0,1535.0
77 ST,6,11135.0,21460.0,34225.0,26216.0
77 ST,R,3461.0,202.0,4511.0,1361.0
79 ST,1,6223.0,4349.0,18119.0,9656.0
79 ST,D,7376.0,597.0,5268.0,1100.0
8 AV,ACEL,4572.0,6636.0,24963.0,15301.0
8 AV,N,9474.0,2507.0,12331.0,10885.0
8 ST-NYU,NRW,1081.0,1320.0,16543.0,14297.0
80 ST,A,8396.0,336.0,3225.0,1923.0
81 ST-MUSEUM,BC,2865.0,5468.0,6475087.0,11256520.0
82 ST-JACKSON H,7,7699.0,1901.0,14977.0,16511.0
85 ST-FOREST PK,J,4103.0,274.0,2914.0,1481.0
86 ST,1,10292.0,10634.0,22371.0,20146.0
86 ST,456,6048.0,16463.0,40095.0,45497.0
86 ST,BC,840.0,970.0,8726.0,7148.0
86 ST,N,3528.0,581.0,1781.0,1648.0
86 ST,R,7239.0,1101.0,10163.0,5113.0
86 ST-2 AVE,Q,18322.0,7555.0,21875.0,14843.0
88 ST,A,6117.0,135.0,2051.0,958.0
9 AV,D,7721.0,1523.0,4403.0,5406.0
90 ST-ELMHURST,7,14656.0,912.0,13619.0,5854.0
96 ST,123,19894.0,17972.0,39637.0,38698.0
96 ST,6,7965.0,4526.0,22489.0,5641.0
96 ST,BC,1066.0,1217.0,8905.0,7482.0
96 ST-2 AVE,Q,16102.0,6955.0,18646.0,12031.0
9TH STREET,1,1100.0,3643.0,4815.0,5176.0
ALABAMA AV,J,1999.0,1922.0,2276.0,2254.0
ALLERTON AV,25,8600.0,852.0,5130.0,2435.0
AQUEDUCT N.COND,A,2137.0,308.0,596.0,2098.0
AQUEDUCT RACETR,A,589.0,27.0,1677.0,190.0
ASTOR PL,6,6835.0,6425.0,17285.0,17140.0
ASTORIA BLVD,NQW,5115.0,1111.0,9142.0,6430.0
ASTORIA DITMARS,NQW,13218.0,1005.0,11906.0,5831.0
ATL AV-BARCLAY,2345BDNQR,5170.0,2427.0,16463.0,16044.0
ATL AV-BARCLAY,BDNQR2345,3891.0,2809.0,18579.0,17727.0
ATLANTIC AV,L,897.0,376.0,1487.0,585.0
AVENUE H,BQ,1368.0,258.0,4138.0,2427.0
AVENUE I,F,1630.0,500.0,2677.0,732.0
AVENUE J,BQ,4610.0,1118.0,6122.0,2583.0
AVENUE M,BQ,4135.0,1302.0,6537.0,2125.0
AVENUE N,F,3688.0,343.0,2141.0,870.0
AVENUE P,F,2699.0,210.0,1780.0,648.0
AVENUE U,BQ,10145.0,735.0,6739.0,3212.0
